scRNA_guide_name,count_D0_original,count_D0_repA,count_D0_repB,count_D7_original,scRNA_count,count_D0_mean,is_NC,target_gene,category_D7,category_scRNA
AKAP8L_+_15529720.23-P1P2-2,62.349535899395725,31.309880145778802,37.34560003777929,42.88388166423768,58.1109820543366,34.32774009177905,False,AKAP8L,none,none
AKAP8L_+_15529754.23-P1P2-1,47.67905686424379,76.97012202503956,53.00665811813835,57.72830224031995,50.315606412901204,64.98839007158895,False,AKAP8L,none,none
AKAP8L_+_15529754.23-P1P2-2,0.0,76.97012202503956,26.503329059069173,75.8714829444205,61.65433461862541,51.736725542054366,False,AKAP8L,none,none
AKAP8_+_15490522.23-P1P2-1,117.36383228121548,31.309880145778802,21.684541957420233,36.28636140820112,29.764161540026063,26.497211051599518,False,AKAP8,none,none
AKAP8_+_15490522.23-P1P2-2,51.346676623031776,63.92433863096506,46.98317424107717,29.688841152164546,75.11907436292292,55.453756436021116,False,AKAP8,none,none
AKAP8_+_15490538.23-P1P2-1,0.0,96.79971278403279,120.46967754122352,84.11838326446622,141.7341025715527,108.63469516262816,False,AKAP8,none,none
AKAP8_+_15490538.23-P1P2-2,3.6676197587879837,13.045783394074501,40.95969036401599,13.195040512073133,31.890173078599354,27.002736879045244,False,AKAP8,none,none
AKAP8_+_15490555.23-P1P2-1,69.68477541697169,9.13204837585215,12.046967754122353,3.298760128018283,12.756069231439742,10.589508064987252,False,AKAP8,none,none
AKAP8_+_15490555.23-P1P2-2,48.41258081600138,49.5739768974831,46.98317424107717,31.338221216173686,96.37918974865583,48.278575569280136,False,AKAP8,none,none
AKNA_+_117150188.23-P1-1,36.676197587879834,41.7465068610384,51.801961342726116,46.182641792255964,34.724855130030406,46.77423410188226,False,AKNA,none,none
AKNA_+_117150188.23-P1-2,201.71908673333908,76.97012202503956,93.96634848215434,150.09358582483188,105.59190641580675,85.46823525359696,False,AKNA,none,none
AKNA_+_117150220.23-P1-1,45.478485008971,24.78698844874155,34.936206486954816,52.78016204829253,52.4416179514745,29.861597467848185,False,AKNA,none,none
AKNA_+_117150220.23-P1-2,69.68477541697169,122.63036390430031,109.6274065625134,176.48366684897815,65.19768718291424,116.12888523340686,False,AKNA,none,none
AKNA_+_117150267.23-P1-1,110.02859276363951,36.5281935034086,14.456361304946823,26.390081024146266,39.68554872003475,25.492277404177713,False,AKNA,none,none
