,index,expression_mean,expression_median,target_gene,expression_mean_norm,expression_mean_log10
245,Element1163,584.2537,473.1548,GATA4,0.9390752,2.7666016
246,Element1164,626.0007,517.7998,GATA4,1.0061754,2.7965748
247,Element1165,547.76764,433.2756,GATA4,0.8804308,2.7385964
248,Element1166,574.0894,459.4533,GATA4,0.922738,2.7589796
249,Element1167,577.93774,462.53473,GATA4,0.9289234,2.761881
250,Element1168,588.4553,475.9637,GATA4,0.94582844,2.7697136
251,Element1169,618.1007,506.07288,GATA4,0.9934777,2.7910593
252,Element1170,585.7337,495.05255,GATA4,0.94145393,2.7677002
253,Element1171,576.3881,457.24823,GATA4,0.9264327,2.760715
254,Element1172,628.7909,515.86285,GATA4,1.01066,2.7985063
255,Element1173,608.72876,503.398,GATA4,0.97841406,2.7844238
256,Element1174,596.7655,494.31534,GATA4,0.9591854,2.7758038
257,Element1175,623.04114,507.0352,GATA4,1.0014185,2.7945168
258,Element1176,624.4656,511.37817,GATA4,1.003708,2.7955086
259,Element1177,628.0827,524.2235,GATA4,1.0095218,2.7980168
260,Element1178,608.745,494.56036,GATA4,0.97844017,2.7844355
261,Element1179,626.76306,506.45734,GATA4,1.0074008,2.7971034
262,Element1180,619.93884,525.9746,GATA4,0.9964321,2.7923489
263,Element1181,622.2868,506.07288,GATA4,1.000206,2.7939906
264,OR10H2,615.4397,501.63184,GATA4,0.9892006,2.7891855
265,OR10K1,625.71204,517.26404,GATA4,1.0057114,2.7963746
266,OR10V1,611.9679,488.28137,GATA4,0.98362035,2.7867286
267,OR14J1,646.9922,515.99585,GATA4,1.0399152,2.810899
268,OR2A2,612.50214,497.01785,GATA4,0.98447907,2.7871077
269,GATA4_P1P2,437.59445,346.26105,GATA4,0.7033487,2.6410718
270,non-targeting,163.30553,0.0,GATA6,1.0,2.213001
271,Element662,159.31119,0.0,GATA6,0.9755407,2.2022464
272,Element663,171.96349,0.0,GATA6,1.0530169,2.2354364
273,Element664,165.6228,0.0,GATA6,1.0141898,2.2191203
274,Element665,149.59729,0.0,GATA6,0.9160577,2.174924
275,Element666,158.51088,0.0,GATA6,0.97064,2.2000592
276,OR10H2,164.6199,0.0,GATA6,1.0080485,2.2164826
277,OR10K1,183.19913,0.0,GATA6,1.1218183,2.2629235
278,OR10V1,172.37796,0.0,GATA6,1.055555,2.236482
279,OR14J1,172.3002,0.0,GATA6,1.0550789,2.236286
280,OR2A2,154.14865,0.0,GATA6,0.94392794,2.18794
281,GATA6_P1P2,131.96838,0.0,GATA6,0.80810726,2.12047
282,non-targeting,245.22865,0.0,GTF2I,1.0,2.3895714
283,Element1134,243.42169,0.0,GTF2I,0.99263155,2.3863595
284,Element1135,235.1092,0.0,GTF2I,0.95873463,2.3712697
285,Element1136,231.18608,0.0,GTF2I,0.9427368,2.3639617
286,Element1137,241.07162,0.0,GTF2I,0.9830484,2.3821461
287,Element1138,223.93707,0.0,GTF2I,0.9131766,2.350126
288,Element1139,240.16382,0.0,GTF2I,0.97934645,2.3805077
289,Element1140,227.17337,0.0,GTF2I,0.92637366,2.3563576
290,Element1141,249.89676,0.0,GTF2I,1.0190357,2.3977606
291,OR10H2,259.6434,0.0,GTF2I,1.0587809,2.4143775
292,OR10K1,250.29155,0.0,GTF2I,1.0206456,2.3984463
293,OR10V1,244.64992,0.0,GTF2I,0.99764,2.3885453
294,OR14J1,223.34871,0.0,GTF2I,0.9107774,2.3489835
295,OR2A2,245.92033,0.0,GTF2I,1.0028206,2.3907945
296,GTF2I_P1P2,120.11095,0.0,GTF2I,0.48979166,2.0795827
297,non-targeting,168.27219,0.0,HIF1A,1.0,2.2260125
298,Element337,173.4356,0.0,HIF1A,1.0306848,2.2391384
299,Element338,166.41516,0.0,HIF1A,0.98896414,2.221193
300,Element339,159.3394,0.0,HIF1A,0.9469147,2.2023234
301,Element340,159.28038,0.0,HIF1A,0.9465639,2.2021625
302,Element341,156.78304,0.0,HIF1A,0.9317228,2.1952991
303,Element342,138.02919,0.0,HIF1A,0.82027334,2.139971
304,Element343,165.14937,0.0,HIF1A,0.98144186,2.2178771
305,Element344,113.08047,0.0,HIF1A,0.6720092,2.0533879
306,Element345,152.56804,0.0,HIF1A,0.90667415,2.1834638
307,Element346,177.22922,0.0,HIF1A,1.0532295,2.2485356
308,Element347,168.13354,0.0,HIF1A,0.9991761,2.2256546
309,OR10H2,178.10503,0.0,HIF1A,1.0584341,2.2506764
310,OR10K1,156.1176,0.0,HIF1A,0.9277683,2.1934521
311,OR10V1,165.42458,0.0,HIF1A,0.98307735,2.2186003
312,OR14J1,178.37344,0.0,HIF1A,1.0600293,2.2513304
313,OR2A2,175.3119,0.0,HIF1A,1.0418353,2.2438116
314,HIF1A_P1P2,35.87445,0.0,HIF1A,0.21319298,1.5547854
315,non-targeting,42.426876,0.0,HMG20A,1.0,1.6276412
316,Element399,40.363113,0.0,HMG20A,0.9513572,1.6059848
317,Element400,32.239902,0.0,HMG20A,0.75989336,1.5083938
318,Element401,39.601658,0.0,HMG20A,0.9334097,1.5977135
