,promoter,enhancer,edist,pro_enh_dist,promoter_nontarget_pval,enhancer_nontarget_pval,promoter_nontarget_edist,enhancer_nontarget_edist,total_cell_num,edist_norm,target_name,expression_category,expression_level,expression_level_norm,is_NT
56,CAMTA2_P1P2,Element534,5.879638671875,33699,5.0,5.0,27.978814697265623,10.623431396484374,1868,0.2101460957332699,CAMTA2,normal,12.672609,0.791273,False
57,CAMTA2_P1P2,Element535,69.8375244140625,15150,5.0,5.0,27.978814697265623,20.782464599609376,2952,2.4960858838987106,CAMTA2,normal,12.50319,0.78069454,False
58,CAMTA2_P1P2,Element536,24.3414306640625,9815,5.0,0.2657523872577449,27.978814697265623,1.243890380859375,2503,0.8699950633162953,CAMTA2,normal,16.27106,1.015959,False
59,CAMTA2_P1P2,Element537,22.1763916015625,84,5.0,0.3615007593789239,27.978814697265623,1.078570556640625,4735,0.7926136915203132,CAMTA2,normal,6.266418,0.3912728,False
60,CAMTA2_P1P2,Element538,17.9429931640625,10047,5.0,1.3500812812645808,27.978814697265623,2.93194580078125,2520,0.6413064083739071,CAMTA2,normal,15.941566,0.99538547,False
61,CAMTA2_P1P2,Element539,24.813232421875,124274,5.0,0.5920824822970373,27.978814697265623,1.69873046875,2829,0.886857884808823,CAMTA2,normal,15.334431,0.95747614,False
62,CAMTA2_P1P2,Element540,13.957763671875,124952,5.0,0.7794735164729573,27.978814697265623,6.291046142578125,901,0.4988690129621215,CAMTA2,normal,16.980003,1.0602251,False
63,CAMTA2_P1P2,OR10H2,21.5704345703125,-1,5.0,-1.0,27.978814697265623,-1.0,1720,0.7709559823640629,ACVR2B,normal,76.72568,0.9816495,True
64,CAMTA2_P1P2,OR10K1,25.7353515625,-1,5.0,-1.0,27.978814697265623,-1.0,1554,0.9198156476948655,ACVR2B,normal,79.90196,1.0222877,True
65,CAMTA2_P1P2,OR10V1,25.2969970703125,-1,5.0,-1.0,27.978814697265623,-1.0,1489,0.9041482759019375,ACVR2B,normal,80.799446,1.0337704,True
66,CAMTA2_P1P2,OR14J1,25.36328125,-1,5.0,-1.0,27.978814697265623,-1.0,1699,0.9065173605255965,ACVR2B,normal,66.79433,0.85458505,True
67,CAMTA2_P1P2,OR2A2,25.55078125,-1,5.0,-1.0,27.978814697265623,-1.0,1755,0.9132188595715274,ACVR2B,normal,85.51017,1.0940408,True
68,CHAMP1_P1P2,Element316,41.5152587890625,79451,5.0,0.5876066600108883,20.529302978515624,8.19488525390625,1529,2.0222439520966273,CHAMP1,normal,21.995531,0.97756726,False
69,CHAMP1_P1P2,Element317,23.8282470703125,52823,5.0,0.705291342059209,20.529302978515624,2.128912353515625,3057,1.1606944032756152,CHAMP1,normal,22.769886,1.0119826,False
70,CHAMP1_P1P2,Element318,27.4195556640625,51880,5.0,0.3700198722662349,20.529302978515624,1.916070556640625,2538,1.3356301328280693,CHAMP1,normal,25.336628,1.1260586,False
71,CHAMP1_P1P2,Element319,18.94140625,32749,5.0,0.7934169651622089,20.529302978515624,1.505291748046875,7520,0.9226521850168321,CHAMP1,normal,22.17823,0.9856871,False
72,CHAMP1_P1P2,Element320,20.751708984375,19560,5.0,0.7348046937142835,20.529302978515624,6.153204345703125,1661,1.0108335877789971,CHAMP1,normal,19.830725,0.8813548,False
73,CHAMP1_P1P2,Element321,5.4656982421875,45,5.0,5.0,20.529302978515624,6.82686767578125,4061,0.2662388610030977,CHAMP1,normal,12.081485,0.5369483,False
