,num_valid_gRNA,pearson_r,expression_range,exp_0,exp_1,lin_0,lin_1,err_exp,err_lin,err_exp/lin
CNBP,31.0,0.14502207352274119,0.7801879420876503,193408.00522424796,0.0001893908742195604,4.854138366256326,26.40496397998308,19506.816267713362,282996285145.11774,6.892958420888973e-08
CREBBP,27.0,-0.20457197997310625,0.4393921494483948,155948.75919349713,0.00046123767354871363,-39.38010955767208,9.27707264671969,9902.503344700155,42355395010.58278,2.3379556116112124e-07
EHMT1,5.0,-0.8183217457921457,0.5403709709644318,28.018113997205777,1.491896416281408,-85.47831206374843,-7.070752861085051,1227.3596729832648,22116.963653768376,0.05549404033017626
EOMES,51.0,-0.09096833981527888,0.5396053194999695,1.7219670594562073,2.873904325057915,-32.24784600367613,-3.54070150663091,67806.50994010859,105953.00279092047,0.6399677984956478
EP300,28.0,-0.2235685069412277,0.4166998863220215,169293.53000088962,0.0006115362677963337,-57.006489598556186,14.561436770689008,17518.810799377334,65526356914.80155,2.673551777364272e-07
FGFR2,5.0,0.1882167226611165,0.5701495260000229,176478.99413533908,0.0003356930625277713,-25.22488610180394,22.62738469446614,6553.810626379053,59579097253.772415,1.1000184508441978e-07
FOXC1,47.0,-0.4801278234123625,0.8745744824409485,138.4839736276467,0.2176317473031484,-31.101055507893154,1.0189268261918933,7970.919025511301,511728.7793059579,0.015576452503457036
FOXH1,102.0,-0.3093787020592233,0.8990849256515503,182988.21402103343,0.00029858389068943404,-28.428783925451,14.768485716659864,55125.88610869108,766203022485.7089,7.194683979430437e-08
GATA4,62.0,-0.4240160655040872,0.2353108525276184,342.40101782040665,0.6186616097853495,-216.88799275409795,2.075798860965305,50672.74129241282,753913.4367955076,0.06721294358115726
GATA6,20.0,-0.11317059361844548,0.34179598093032837,123939.10159826884,0.0007891567709955147,-41.31673120534101,14.192702159690468,8003.8830101484045,16382181693.697216,4.885724722017808e-07
GTF2I,19.0,-0.11847776666919306,0.523488461971283,140095.55478401357,0.00040424777466123993,-16.841592736587263,12.506444506384268,3948.973928110015,25749494390.002113,1.533612221000853e-07
HIF1A,43.0,-0.7630510138289457,0.747337594628334,54.25959630260407,1.335421245874087,-111.7094886119268,2.1159334131704193,18035.230877087848,184861.18282840616,0.0975609405995671
HMG20A,45.0,-0.4023436353302795,0.8942053914070129,139446.39886082802,0.0003009881426106344,-26.410715680572565,7.793607743536828,8731.503055518458,154075940388.31442,5.667012664996645e-08
