,num_valid_gRNA,pearson_r,expression_range,exp_0,exp_1,lin_0,lin_1,err_exp,err_lin,err_exp/lin
EP300,4.0,0.11311770932749943,0.31372870479002973,188595.8550927244,0.000388609608970015,-54.68228297358074,8.570539443664412,452.39707691948485,27758143479.72384,1.6297814630504448e-08
ESRRA,4.0,0.673411124415866,0.5465275552571944,59287.07119178422,0.0003335248258834259,-10.301793106592942,7.990642879006788,547.8494532779321,9375694817.841526,5.84329443227396e-08
ETV3,6.0,-0.24547005405482128,0.3055837537998921,3.1154336267416323,2.2672848054471215,-26.538978255775977,-1.3767759952292409,2183.374911518012,5655.535285943046,0.38605981593728844
FOS,8.0,-0.3886417342467643,0.8595931519608283,187536.26323264168,0.00022898960108159503,-26.878332433164783,12.918481300667352,2486.523662785984,139176554091.56613,1.7865966570418653e-08
FOXC1,4.0,-0.036969325066469716,0.2842076797617883,138189.49770676414,0.0003724291574242557,-48.80801883449152,2.5210717880133933,4665.222261185928,67123167982.3134,6.950241476110289e-08
GATA4,4.0,-0.8705921696844274,0.20476879145702254,178.22742412608798,1.9445929121206564,-535.8608893433646,-14.504444313155028,4374.7843982758395,163570.94560675652,0.02674548577100806
GBX1,9.0,-0.4105520744206502,0.6211761703913049,1.8978186405848676,3.0482477196649893,-42.319783371304716,-4.562467756221505,5063.034714294597,16000.740990138145,0.31642501540491996
HAND2,11.0,0.5973974828737878,0.6685885202785533,103459.54117900936,0.0002551429492398562,5.035213191186952,23.847481267097894,3509.4538744046954,61506354171.692245,5.7058395375024364e-08
HIF1A,5.0,0.659438394759855,0.8011558309770919,404371.12976393936,0.0003099113969877938,-61.25987201958459,55.49133329236385,13394.67083742111,529932825773.61865,2.5276167442292323e-08
HMG20A,5.0,-0.5240046330473853,0.48489752713014367,48.68721995394891,1.08377553595447,-95.79372294886059,-5.538610618863383,6282.201763730384,75149.57412861366,0.0835959729190055
ID2,7.0,0.5701019360890487,0.9027325908888515,70464.96521625454,0.00031876512503250306,6.5651347404619775,24.442971900251827,3671.195910416323,19565365831.35736,1.8763747849439681e-07
