,gRNA_name,expression,relative_expression,edist,cell_num,target_gene
584,NOTCH2_+_120612161.23-P1P2-2,33.51985994627987,0.6656711666539858,8.4034423828125,123,NOTCH2
585,NOTCH2_-_120611613.23-P1P2-1,9.303643461559355,0.1847611298828317,59.3673095703125,96,NOTCH2
586,NOTCH2_-_120611613.23-P1P2-2,0.0,0.0,50.6148681640625,85,NOTCH2
587,non-targeting,36.36862846742588,1.0,0.0,20000,NR3C1
588,NR3C1_+_142783083.23-P1P2-1,0.0,0.0,44.130859375,71,NR3C1
589,NR3C1_+_142783083.23-P1P2-2,29.880198867647863,0.8215926782724435,30.5406494140625,84,NR3C1
590,NR3C1_-_142783020.23-P1P2-1,53.63289674278349,1.4747022090981687,16.5147705078125,150,NR3C1
591,NR3C1_-_142783020.23-P1P2-2,2.421188747891529,0.06657355115989881,13.0115966796875,193,NR3C1
592,NR3C1_-_142783197.23-P1P2-1,6.031098764208032,0.16583245006365524,14.223388671875,164,NR3C1
593,NR3C1_-_142783197.23-P1P2-2,21.81769224399751,0.5999041801518268,18.5478515625,185,NR3C1
594,non-targeting,0.09990462640416808,1.0,0.0,20000,OVOL1
595,OVOL1_+_65554607.23-P1P2-1,0.0,0.0,25.4451904296875,215,OVOL1
596,OVOL1_+_65554607.23-P1P2-2,0.0,0.0,34.4365234375,159,OVOL1
597,OVOL1_+_65554611.23-P1P2-1,0.0,0.0,19.2344970703125,121,OVOL1
598,OVOL1_+_65554611.23-P1P2-2,0.0,0.0,5.739501953125,194,OVOL1
599,OVOL1_+_65554624.23-P1P2-1,0.0,0.0,45.0758056640625,37,OVOL1
600,OVOL1_+_65554624.23-P1P2-2,0.0,0.0,28.1072998046875,51,OVOL1
601,non-targeting,1.5698851537308656,1.0,0.0,20000,OVOL2
602,OVOL2_-_18038343.23-P1P2-1,0.0,0.0,65.4927978515625,39,OVOL2
603,OVOL2_-_18038343.23-P1P2-2,7.226467010025916,4.6031819543309025,25.6009521484375,95,OVOL2
604,OVOL2_-_18038475.23-P1P2-1,0.0,0.0,13.5653076171875,61,OVOL2
605,OVOL2_-_18038475.23-P1P2-2,0.0,0.0,39.142822265625,118,OVOL2
606,OVOL2_-_18038516.23-P1P2-1,0.6670512493494302,0.4249044892004798,7.3258056640625,281,OVOL2
607,OVOL2_-_18038516.23-P1P2-2,0.0,0.0,7.905517578125,138,OVOL2
608,non-targeting,0.16992125601973385,1.0,0.0,20000,PAX2
609,PAX2_-_102505379.23-P1P2-1,0.6779752229937376,3.989937685694842,9.1416015625,390,PAX2
610,PAX2_-_102505379.23-P1P2-2,0.0,0.0,27.7252197265625,134,PAX2
611,PAX2_-_102505570.23-P1P2-1,0.0,0.0,18.040771484375,78,PAX2
612,PAX2_-_102505570.23-P1P2-2,0.0,0.0,62.6165771484375,99,PAX2
613,non-targeting,0.03909017686964944,1.0,0.0,20000,PAX7
614,PAX7_+_18957416.23-P1P2-2,0.0,0.0,7.22021484375,233,PAX7
615,PAX7_+_18957425.23-P1P2-1,0.0,0.0,42.8675537109375,109,PAX7
616,PAX7_+_18957425.23-P1P2-2,0.0,0.0,9.2628173828125,91,PAX7
617,PAX7_+_18957739.23-P1P2-1,0.0,0.0,31.4766845703125,184,PAX7
618,PAX7_+_18957739.23-P1P2-2,0.0,0.0,23.961669921875,36,PAX7
619,non-targeting,66.05962750509207,1.0,0.0,20000,PBX2
620,PBX2_+_32157754.23-P1P2-1,7.357421806470181,0.1113754661408445,21.438232421875,150,PBX2
621,PBX2_-_32157947.23-P1P2-2,6.133689090520853,0.09285079741099132,33.2010498046875,189,PBX2
622,non-targeting,34.32907864553272,1.0,0.0,20000,PCGF2
623,PCGF2_+_36905980.23-P2-1,31.80906389302219,0.9265924151786562,20.0203857421875,84,PCGF2
624,PCGF2_+_36905980.23-P2-2,33.954535722335756,0.9890896307744134,2.217041015625,311,PCGF2
625,PCGF2_+_36905999.23-P2-1,19.964779727879545,0.5815705086066324,8.6258544921875,324,PCGF2
626,PCGF2_+_36905999.23-P2-2,20.0826511307083,0.5850040817603381,4.2906494140625,184,PCGF2
627,PCGF2_+_36906036.23-P2-1,36.801161747592104,1.0720113443062382,10.6329345703125,140,PCGF2
628,PCGF2_-_36904308.23-P1-2,32.317282231667136,0.9413967256552812,27.3016357421875,98,PCGF2
629,PCGF2_-_36904566.23-P1-1,3.3142101994260798,0.09654235797142087,37.9488525390625,43,PCGF2
630,PCGF2_-_36904566.23-P1-2,9.791594085590537,0.2852274069658065,18.7874755859375,446,PCGF2
631,PCGF2_-_36904575.23-P1-1,2.2592539608012885,0.06581166899727697,78.4622802734375,104,PCGF2
632,PCGF2_-_36904575.23-P1-2,5.028935821677338,0.1464920126055221,21.41162109375,479,PCGF2
633,non-targeting,25.064749964622024,1.0,0.0,20000,PCGF6
634,PCGF6_+_105110880.23-P1P2-1,8.389629268397888,0.334718250939648,44.939453125,135,PCGF6
635,PCGF6_+_105110880.23-P1P2-2,0.0,0.0,128.1856689453125,48,PCGF6
636,PCGF6_-_105110383.23-P1P2-1,3.713923100018378,0.14817315573705878,34.39306640625,169,PCGF6
637,PCGF6_-_105110383.23-P1P2-2,0.0,0.0,177.4490966796875,79,PCGF6
638,PCGF6_-_105110841.23-P1P2-1,5.1212968131483985,0.20432267708143592,108.15234375,43,PCGF6
639,non-targeting,104.76674565034045,1.0,0.0,20000,PHF21A
640,PHF21A_+_46142971.23-P1P2-1,35.64606250787438,0.34024214732070895,12.827880859375,321,PHF21A
641,PHF21A_+_46142975.23-P1P2-1,16.100833074957063,0.15368266881834503,7.7548828125,372,PHF21A
642,PHF21A_+_46142975.23-P1P2-2,19.155774558366268,0.18284212647302,19.8482666015625,291,PHF21A
643,non-targeting,122.80797403327597,1.0,0.0,20000,PIN1
644,PIN1_+_9946041.23-P1P2-1,0.0,0.0,58.30126953125,153,PIN1
645,PIN1_+_9946226.23-P1P2-1,17.306637726252593,0.14092438103052818,46.7354736328125,79,PIN1
646,PIN1_-_9946209.23-P1P2-1,12.683811248626583,0.1032816586094791,20.008056640625,168,PIN1
647,PIN1_-_9946209.23-P1P2-2,9.26011711294593,0.0754032234945657,33.1795654296875,318,PIN1
648,non-targeting,70.69589464917954,1.0,0.0,20000,PITX2
649,PITX2_+_111544200.23-P1-1,47.73912708818292,0.6752743893416017,162.6676025390625,84,PITX2
650,PITX2_+_111544200.23-P1-2,53.28997420812292,0.7537916377261855,61.9993896484375,56,PITX2
651,PITX2_+_111544217.23-P1-2,66.13278954039113,0.9354544541598588,62.175048828125,143,PITX2
652,PITX2_+_111558146.23-P2-2,54.6164701518137,0.7725550461288003,12.71337890625,92,PITX2
653,PITX2_-_111544228.23-P1-1,43.880920004247145,0.6206996915733409,92.7200927734375,101,PITX2
654,PITX2_-_111544228.23-P1-2,44.05030211992231,0.6230956173412473,57.0216064453125,281,PITX2
655,PITX2_-_111558081.23-P2-1,94.35452248789775,1.3346534895147946,9.6856689453125,92,PITX2
656,PITX2_-_111558101.23-P2-1,83.98977989233586,1.1880432422437788,5.39892578125,335,PITX2
657,PITX2_-_111558101.23-P2-2,92.23101234204287,1.3046162411513278,19.6763916015625,86,PITX2
658,non-targeting,31.433670763908594,1.0,0.0,20000,PLAGL1
659,PLAGL1_+_144329361.23-P1-1,0.0,0.0,36.4014892578125,39,PLAGL1
660,PLAGL1_+_144329361.23-P1-2,2.352028297117123,0.07482512350475043,28.9935302734375,65,PLAGL1
661,PLAGL1_+_144329384.23-P1-1,1.0645171068399004,0.03386550412248238,35.0201416015625,111,PLAGL1
662,PLAGL1_+_144329384.23-P1-2,0.0,0.0,7.77490234375,152,PLAGL1
663,PLAGL1_+_144385648.23-P2-1,25.049027559968334,0.7968852173869888,56.221923828125,75,PLAGL1
664,PLAGL1_+_144385648.23-P2-2,41.69003133879854,1.326285805177614,55.2625732421875,155,PLAGL1
665,PLAGL1_+_144385655.23-P2-1,19.583255610751934,0.6230025044748184,6.9881591796875,268,PLAGL1
