,pval_outlier
ATN1_-_7037050.23-P1P2-1,1.0
ATN1_-_7037050.23-P1P2-2,1.0
ATOH1_+_94750042.23-P1P2-1,1.0
ATOH1_+_94750042.23-P1P2-2,0.7476
ATOH1_-_94749948.23-P1P2-1,0.8209
ATOH1_-_94749948.23-P1P2-2,1.0
ATOH1_-_94750125.23-P1P2-1,1.0
ATOH7_+_69991818.23-P1P2-1,0.9731
ATOH7_+_69991818.23-P1P2-2,0.8209
ATOH7_-_69991496.23-P1P2-1,1.0
ATOH7_-_69991496.23-P1P2-2,0.9227
ATOH7_-_69991885.23-P1P2-1,0.9531
ATOH7_-_69991885.23-P1P2-2,1.0
ATOH8_-_85981004.23-P1P2-1,1.0
ATOH8_-_85981004.23-P1P2-2,1.0
ATOH8_-_85981251.23-P1P2-2,1.0
ATOH8_-_85981509.23-P1P2-1,1.0
ATOH8_-_85981509.23-P1P2-2,1.0
ATXN7_+_63898186.23-ENST00000538065.1-1,0.9366
ATXN7_-_63898461.23-ENST00000538065.1-2,0.3634
ATXN7_-_63898568.23-ENST00000538065.1-1,0.7186
ATXN7_-_63850049.23-ENST00000398590.3-1,0.6808
ATXN7_-_63850058.23-ENST00000398590.3-1,0.5
ATXN7_-_63850058.23-ENST00000398590.3-2,0.9996
ATXN7_-_63850240.23-ENST00000398590.3-1,0.6808
ATXN7_-_63850240.23-ENST00000398590.3-2,0.9912
BACH1_+_30671691.23-P1P2-1,0.9707
BACH1_-_30671281.23-P1P2-1,0.3192
BACH1_-_30671373.23-P1P2-1,0.9214
BACH2_-_91006333.23-P1P2-1,0.9214
BACH2_-_91006333.23-P1P2-2,1.0
BACH2_-_91006500.23-P1P2-2,0.9707
BARHL1_+_135457544.23-P1P2-1,1.0
BARHL1_-_135458017.23-P1P2-1,0.9707
BARHL1_-_135458047.23-P1P2-1,0.9707
BARHL2_+_91182663.23-P1P2-1,1.0
BARHL2_+_91182663.23-P1P2-2,1.0
BARHL2_+_91182789.23-P1P2-2,0.5649
BARHL2_+_91182838.23-P1P2-1,0.4649
BARHL2_+_91182838.23-P1P2-2,0.4649
BARX1_-_96717530.23-P1P2-2,0.5
BARX1_-_96717533.23-P1P2-2,0.5
BARX2_+_129245577.23-P1P2-1,1.0
BARX2_+_129245577.23-P1P2-2,1.0
BARX2_+_129245920.23-P1P2-1,1.0
BARX2_+_129245920.23-P1P2-2,1.0
BARX2_-_129245560.23-P1P2-1,1.0
BARX2_-_129245560.23-P1P2-2,1.0
BATF2_-_64764396.23-P1P2-1,1.0
BATF2_-_64764396.23-P1P2-2,1.0
BATF2_-_64764399.23-P1P2-1,1.0
BATF2_-_64764399.23-P1P2-2,1.0
BATF2_-_64764409.23-P1P2-2,1.0
BATF3_+_212872874.23-P1P2-1,0.9707
BATF3_+_212873092.23-P1P2-1,1.0
BATF3_+_212873092.23-P1P2-2,0.9214
BATF3_+_212873228.23-P1P2-1,0.3192
BATF_-_75988898.23-P1P2-1,1.0
BATF_-_75988898.23-P1P2-2,1.0
BAZ1B_+_72936507.23-P1P2-2,0.9707
BAZ1B_-_72936525.23-P1P2-1,0.9996
BAZ1B_-_72936561.23-P1P2-1,0.6808
BAZ1B_-_72936561.23-P1P2-2,0.3192
BAZ2A_+_57029894.23-P2-1,1.0
BAZ2A_+_57029894.23-P2-2,1.0
BAZ2A_+_57029964.23-P2-1,1.0
BAZ2A_+_57029964.23-P2-2,1.0
BAZ2A_+_57030124.23-P2-1,1.0
BAZ2A_+_57030124.23-P2-2,1.0
BAZ2A_-_57023996.23-P1-1,0.661
BAZ2A_-_57023996.23-P1-2,0.661
BAZ2A_-_57024000.23-P1-1,1.0
BAZ2A_-_57024000.23-P1-2,0.9926
BAZ2A_-_57024103.23-P1-1,0.9531
BAZ2A_-_57024103.23-P1-2,0.5649
BAZ2B_-_160472135.23-P1P2-1,1.0
BAZ2B_-_160472135.23-P1P2-2,1.0
BAZ2B_-_160472301.23-P1P2-1,1.0
BAZ2B_-_160472301.23-P1P2-2,1.0
BAZ2B_-_160472590.23-P1P2-1,1.0
BAZ2B_-_160472590.23-P1P2-2,1.0
BBX_-_107241850.23-P1P2-1,0.9912
BBX_-_107241850.23-P1P2-2,0.9214
BBX_-_107241913.23-P1P2-2,0.9999
BCL11A_-_60780410.23-P1P2-1,1.0
BCL11A_-_60780410.23-P1P2-2,1.0
BCL11A_-_60780497.23-P1P2-1,1.0
BCL11A_-_60780497.23-P1P2-2,1.0
BCL11A_-_60780590.23-P1P2-1,1.0
BCL11A_-_60780590.23-P1P2-2,1.0
BCL11B_+_99738010.23-P1P2-1,1.0
BCL11B_-_99737696.23-P1P2-1,1.0
BCL3_+_45251990.23-P1P2-1,1.0
BCL3_+_45251990.23-P1P2-2,1.0
BCL3_+_45251993.23-P1P2-1,1.0
BCL3_+_45252050.23-P1P2-1,1.0
BCL3_+_45252050.23-P1P2-2,1.0
BCL6B_-_6926363.23-P1P2-1,1.0
BCL6B_-_6926363.23-P1P2-2,1.0
BCL6B_-_6926401.23-P1P2-2,1.0
BCL6B_-_6926629.23-P1P2-1,1.0
BCL6B_-_6926629.23-P1P2-2,1.0
BCL6_+_187463208.23-P1P2-1,1.0
BCL6_+_187463213.23-P1P2-1,1.0
BCLAF1_+_136610885.23-P1P2-1,1.0
BCLAF1_+_136610885.23-P1P2-2,1.0
BCLAF1_+_136610935.23-P1P2-2,1.0
BCLAF1_-_136610510.23-P1P2-1,1.0
BCLAF1_-_136610510.23-P1P2-2,1.0
BHLHA15_-_97840777.23-P1P2-1,0.3192
BHLHA15_-_97840777.23-P1P2-2,0.9707
BHLHA15_-_97840834.23-P1P2-1,0.9912
BHLHA15_-_97840834.23-P1P2-2,0.9999
BHLHA9_+_1173758.23-P1P2-1,0.3192
BHLHA9_+_1173765.23-P1P2-2,1.0
BHLHA9_-_1173797.23-P1P2-2,0.5
BHLHB9_-_101975658.23-P1P2-1,1.0
BHLHB9_-_101975658.23-P1P2-2,1.0
BHLHB9_-_101975728.23-P1P2-1,1.0
BHLHB9_-_101975731.23-P1P2-2,1.0
BHLHE22_-_65492946.23-P1P2-1,1.0
BHLHE22_-_65492946.23-P1P2-2,1.0
BHLHE22_-_65492961.23-P1P2-1,1.0
BHLHE22_-_65492961.23-P1P2-2,1.0
BHLHE22_-_65493007.23-P1P2-1,1.0
BHLHE22_-_65493007.23-P1P2-2,1.0
BHLHE23_+_61638173.23-P1P2-1,0.8266
BHLHE23_+_61638173.23-P1P2-2,0.9707
BHLHE23_+_61638282.23-P1P2-2,0.9979
BHLHE23_-_61638146.23-P1P2-1,0.3192
BHLHE23_-_61638146.23-P1P2-2,0.5
BHLHE40_+_5021168.23-P1P2-1,1.0
BHLHE40_+_5021168.23-P1P2-2,1.0
BHLHE40_+_5021201.23-P1P2-1,1.0
BHLHE40_+_5021201.23-P1P2-2,1.0
BHLHE40_-_5021159.23-P1P2-1,1.0
BHLHE40_-_5021159.23-P1P2-2,1.0
BHLHE41_-_26277780.23-P1P2-2,1.0
BHLHE41_-_26277796.23-P1P2-2,1.0
BID_+_18257195.23-P1P2-1,0.3634
BID_+_18257228.23-P1P2-1,0.7186
BID_-_18257213.23-P1P2-1,0.3634
BID_-_18257213.23-P1P2-2,0.7186
BLZF1_-_169337463.23-P1P2-1,1.0
BLZF1_-_169337488.23-P1P2-1,1.0
BLZF1_-_169337488.23-P1P2-2,1.0
BLZF1_-_169337494.23-P1P2-1,1.0
