,distance_0,pval_0,distance_1,pval_1,distance_2,pval_2,distance_3,pval_3,distance_4,pval_4,distance_5,pval_5,distance_6,pval_6,distance_7,pval_7,distance_8,pval_8,distance_9,pval_9,distance_10,pval_10,distance_11,pval_11,distance_12,pval_12,distance_13,pval_13,distance_14,pval_14,distance_15,pval_15,distance_16,pval_16,distance_17,pval_17,distance_18,pval_18,distance_19,pval_19,pval_mean,pval_std,distance_mean,distance_std,pval_mean_log,distance_mean_log
ZNF438:P1,6.8319091796875,0.0,13.2813720703125,0.0,6.370361328125,0.009,13.5162353515625,0.0,10.7938232421875,0.0,6.755126953125,0.007,13.9403076171875,0.0,6.5941162109375,0.003,9.5361328125,0.002,8.3900146484375,0.0,7.0347900390625,0.005,9.0753173828125,0.0,12.3486328125,0.0,7.396728515625,0.002,8.4686279296875,0.003,10.1212158203125,0.0,9.2440185546875,0.002,8.02001953125,0.004,7.4423828125,0.002,8.7313232421875,0.001,0.0019999999999999996,0.002575185225836856,9.194622802734376,2.421456382490171,2.6968039425795114,0.9635339175815847
ZNF439:P1P2,8.2603759765625,0.002,13.9979248046875,0.0,8.860107421875,0.0,14.6517333984375,0.0,12.3961181640625,0.0,7.921875,0.001,16.3504638671875,0.0,8.2178955078125,0.001,11.78759765625,0.0,9.2191162109375,0.0,7.9437255859375,0.001,9.5133056640625,0.0,13.838134765625,0.0,6.826416015625,0.002,7.9671630859375,0.0,11.5072021484375,0.0,9.3240966796875,0.001,8.982177734375,0.0,9.1611328125,0.0,10.4420166015625,0.001,0.00045000000000000004,0.0006863327411532595,10.358428955078125,2.663711532350381,3.3372421683184257,1.0152938917143193
ZNF43:P1,1.712158203125,0.712,3.661376953125,0.103,1.8515625,0.599,3.461181640625,0.133,3.130859375,0.167,1.8875732421875,0.596,4.79150390625,0.038,1.962890625,0.521,3.0262451171875,0.199,2.13623046875,0.497,1.4716796875,0.83,2.419921875,0.377,3.181884765625,0.186,1.5286865234375,0.766,2.287841796875,0.395,2.92578125,0.219,2.41064453125,0.33,1.9884033203125,0.554,2.4373779296875,0.317,2.435302734375,0.342,0.39405,0.23178607991444453,2.535455322265625,0.8267525325089886,0.40443764699414886,0.4040559621666936
ZNF43:P2,2.103759765625,0.573,2.60986328125,0.336,1.5523681640625,0.825,2.443603515625,0.444,2.22216796875,0.522,1.8333740234375,0.687,2.48095703125,0.422,1.61376953125,0.801,1.7481689453125,0.707,2.130859375,0.537,1.923095703125,0.654,2.708740234375,0.338,1.853271484375,0.714,2.6348876953125,0.335,3.0804443359375,0.222,2.343017578125,0.472,2.87353515625,0.275,2.5399169921875,0.366,2.2445068359375,0.492,1.873291015625,0.67,0.5196000000000001,0.17892262367615197,2.240679931640625,0.42967264300310204,0.2843224994330583,0.3503798244735732
ZNF440:P1P2,1.8912353515625,0.537,5.3004150390625,0.013,2.876708984375,0.183,5.5955810546875,0.011,4.1231689453125,0.044,2.2203369140625,0.353,6.9571533203125,0.001,2.7708740234375,0.186,3.783203125,0.059,2.558837890625,0.241,2.4361572265625,0.305,3.3255615234375,0.111,4.5596923828125,0.044,1.686279296875,0.641,2.9664306640625,0.13,4.1409912109375,0.054,3.4595947265625,0.09,2.9970703125,0.13,2.2470703125,0.333,3.3463134765625,0.101,0.17834999999999995,0.176627253961854,3.4621337890625,1.341142557627804,0.7487025363224304,0.5393438465344356
ZNF441:P1P2,15.7998046875,0.006,23.8544921875,0.001,18.1341552734375,0.005,23.81640625,0.0,21.940185546875,0.001,15.7467041015625,0.007,26.458251953125,0.001,17.6240234375,0.001,19.1837158203125,0.002,18.4189453125,0.003,18.011474609375,0.004,20.656005859375,0.0,21.931884765625,0.0,14.9622802734375,0.011,18.45849609375,0.005,21.91845703125,0.0,19.38330078125,0.001,15.9952392578125,0.002,16.0003662109375,0.008,20.134521484375,0.001,0.00295,0.003119969635479773,19.421435546875,3.147356538361636,2.5287082889410613,1.288281327891472
ZNF442:P1P2,4.291259765625,0.086,3.464599609375,0.221,4.4285888671875,0.067,3.665283203125,0.157,3.329345703125,0.22,3.4400634765625,0.181,3.98291015625,0.126,3.556884765625,0.173,4.0902099609375,0.108,3.5556640625,0.171,4.322998046875,0.082,3.6220703125,0.176,3.344482421875,0.23,3.9049072265625,0.128,4.118408203125,0.089,4.066162109375,0.131,4.173583984375,0.097,3.3009033203125,0.2,4.2989501953125,0.072,3.568359375,0.168,0.14415000000000003,0.05258804647045702,3.82628173828125,0.3789198835200087,0.8411552263650122,0.5827769450106821
ZNF443:P1P2,4.1962890625,0.104,3.287109375,0.277,3.2838134765625,0.28,3.711669921875,0.194,2.975830078125,0.365,2.8585205078125,0.403,2.709228515625,0.467,2.728759765625,0.404,2.3280029296875,0.598,3.628662109375,0.183,3.8475341796875,0.171,4.564453125,0.095,2.947509765625,0.375,4.2659912109375,0.109,4.2294921875,0.131,3.3017578125,0.275,4.0537109375,0.125,2.9801025390625,0.342,3.4713134765625,0.221,3.10302734375,0.328,0.27235,0.1377821602538243,3.423638916015625,0.6178979710591183,0.5648566744936946,0.5344879542962386
ZNF445:P1P2,4.039306640625,0.026,3.924560546875,0.035,4.7235107421875,0.015,4.30029296875,0.031,4.048828125,0.02,3.2982177734375,0.086,5.30029296875,0.014,3.94921875,0.024,3.591064453125,0.044,3.923583984375,0.034,4.65576171875,0.01,5.195068359375,0.013,4.04296875,0.029,3.9376220703125,0.033,4.391845703125,0.017,4.93701171875,0.005,3.9808349609375,0.036,2.7398681640625,0.129,4.3341064453125,0.017,3.888671875,0.037,0.03275,0.028473209938651566,4.1601318359375,0.610311833873534,1.484656106911619,0.6191070937788915
ZNF446:P1P2,4.3538818359375,0.042,2.4080810546875,0.374,4.4486083984375,0.037,2.7021484375,0.282,2.569091796875,0.3,3.5181884765625,0.108,1.7835693359375,0.675,3.68310546875,0.088,2.7830810546875,0.214,3.4522705078125,0.129,4.08349609375,0.058,3.200439453125,0.152,2.4176025390625,0.372,4.9100341796875,0.019,4.136962890625,0.065,2.7310791015625,0.265,3.5013427734375,0.093,3.9122314453125,0.083,4.2293701171875,0.06,2.996826171875,0.177,0.17965000000000003,0.16135129213515526,3.391070556640625,0.8311499485189207,0.7455486046549835,0.530336826062634
ZNF449:P1P2,5.392578125,0.078,7.884033203125,0.013,5.2598876953125,0.08,8.623779296875,0.012,7.04931640625,0.031,4.5159912109375,0.156,9.9775390625,0.011,4.6956787109375,0.137,7.0404052734375,0.026,5.76953125,0.073,5.44970703125,0.093,6.132568359375,0.053,7.880126953125,0.012,4.4683837890625,0.145,5.204833984375,0.101,7.472412109375,0.018,5.6171875,0.064,4.6868896484375,0.133,5.9473876953125,0.061,5.619873046875,0.071,0.0684,0.047637225603071126,6.234405517578125,1.5084335201273482,1.1648804095754504,0.794795047590916
ZNF44:P1P2,2.8026123046875,0.212,4.2667236328125,0.038,2.718505859375,0.228,4.9197998046875,0.031,3.7222900390625,0.08,2.93798828125,0.189,6.4615478515625,0.006,2.3819580078125,0.306,4.62451171875,0.032,2.4583740234375,0.301,2.0843505859375,0.494,2.3990478515625,0.348,4.5174560546875,0.05,2.118896484375,0.452,2.4373779296875,0.32,3.7684326171875,0.078,2.5262451171875,0.305,3.48193359375,0.082,3.4296875,0.115,3.0032958984375,0.182,0.19244999999999998,0.14735152205739707,3.3530517578125,1.1370482706935185,0.7156595185419032,0.5254402572638563
ZNF454:P1P2,14.2109375,0.0,21.7802734375,0.0,14.3997802734375,0.0,22.412353515625,0.0,19.216796875,0.0,14.4053955078125,0.0,22.447998046875,0.0,14.876708984375,0.001,16.8157958984375,0.0,16.69921875,0.001,17.12255859375,0.0,19.522705078125,0.001,19.7724609375,0.001,15.2974853515625,0.001,18.17138671875,0.0,19.3818359375,0.0,18.9912109375,0.0,16.1129150390625,0.0,14.4622802734375,0.001,17.08056640625,0.0,0.00030000000000000003,0.00047016234598162723,17.659033203125,2.706381446988752,3.5086383061657274,1.246966923135017
ZNF45:P1P2,4.4805908203125,0.093,7.4993896484375,0.009,5.515869140625,0.04,7.174560546875,0.011,6.8741455078125,0.015,4.2803955078125,0.122,7.3258056640625,0.015,5.2991943359375,0.051,4.704345703125,0.079,5.7716064453125,0.046,5.7354736328125,0.05,7.0001220703125,0.016,5.7572021484375,0.044,5.17041015625,0.054,7.3074951171875,0.009,6.6370849609375,0.021,7.0550537109375,0.007,5.074951171875,0.057,4.54345703125,0.103,6.1011962890625,0.026,0.04340000000000001,0.03386101624364856,5.96541748046875,1.0731457344800914,1.3624102141613,0.7756408424941061
ZNF461:P1P2,4.8814697265625,0.361,4.2884521484375,0.52,4.0654296875,0.537,4.9693603515625,0.382,4.3509521484375,0.471,4.396484375,0.442,3.2135009765625,0.779,3.9281005859375,0.541,2.9705810546875,0.812,4.9805908203125,0.367,5.0206298828125,0.36,5.6939697265625,0.25,3.8773193359375,0.612,5.77001953125,0.234,6.1917724609375,0.175,4.2874755859375,0.503,5.4185791015625,0.286,4.436279296875,0.418,4.877197265625,0.356,4.5167236328125,0.434,0.442,0.16465913755072134,4.606744384765625,0.8127817787672796,0.3545679050950451,0.6633941151470574
ZNF462:P1P2,9.8197021484375,0.003,16.2486572265625,0.0,10.5615234375,0.001,14.5804443359375,0.001,13.4105224609375,0.0,10.02001953125,0.003,14.7252197265625,0.0,11.2625732421875,0.001,10.231689453125,0.002,11.9547119140625,0.0,10.6832275390625,0.002,14.1600341796875,0.0,13.7393798828125,0.0,12.2099609375,0.0,13.1370849609375,0.001,12.3724365234375,0.0,13.1622314453125,0.002,11.32861328125,0.001,9.3701171875,0.002,11.7894287109375,0.0,0.0009500000000000001,0.0010500626547722608,12.23837890625,1.8788111496406161,3.0177287669604316,1.0877238950402448
ZNF467:P1P2,3.6007080078125,0.707,6.6572265625,0.169,3.416748046875,0.734,7.53759765625,0.13,5.9853515625,0.241,3.6507568359375,0.7,7.426025390625,0.142,3.230224609375,0.761,4.3475341796875,0.527,4.362548828125,0.521,4.08740234375,0.573,5.656982421875,0.317,5.51708984375,0.324,3.3463134765625,0.751,4.93798828125,0.402,5.727783203125,0.315,5.106201171875,0.344,4.5662841796875,0.473,4.0640869140625,0.57,4.53076171875,0.463,0.45820000000000005,0.2079492853153333,4.88778076171875,1.3005124341444254,0.3389354369767645,0.6891117176700301
ZNF468:P1P2,7.967529296875,0.022,13.14404296875,0.001,9.4364013671875,0.005,13.64990234375,0.0,12.0341796875,0.003,7.9517822265625,0.015,16.293701171875,0.0,8.930419921875,0.018,11.2686767578125,0.002,8.860107421875,0.011,8.716796875,0.016,10.099853515625,0.003,12.70458984375,0.003,6.3721923828125,0.061,8.38623046875,0.012,11.85595703125,0.0,9.6328125,0.009,8.2723388671875,0.026,8.7115478515625,0.019,10.451904296875,0.009,0.01175,0.014085733730865501,10.23704833984375,2.4245820086324708,1.9295926782598802,1.0101747540514392
